author,image,name,price
John Grisham,"https://images-na.ssl-images-amazon.com/images/I/A1i8NcG05pL._AC_UL200_SR200,200_.jpg",A Time for Mercy (Jake Brigance),$16.79
Charlie Mackesy,"https://images-na.ssl-images-amazon.com/images/I/71eJk7GtUOL._AC_UL200_SR200,200_.jpg","The Boy, the Mole, the Fox and the Horse",$14.13
Tish Rabe,"https://images-na.ssl-images-amazon.com/images/I/91NP7h5PnxL._AC_UL200_SR200,200_.jpg",There's No Place Like Space: All About Our Solar System (Cat in the Hat's Learning Library),$0.94
Craig Smith,"https://images-na.ssl-images-amazon.com/images/I/71N4oeWwYlL._AC_UL200_SR200,200_.jpg",The Wonky Donkey,$2.75
Stephenie Meyer,"https://images-na.ssl-images-amazon.com/images/I/81zBVMvSjNL._AC_UL200_SR200,200_.jpg",Midnight Sun,$13.32
James Patterson,"https://images-na.ssl-images-amazon.com/images/I/41b-dR6aQIL._AC_UL200_SR200,200_.jpg","Deadly Cross (Alex Cross, 28)",$14.50
Adir Levy,"https://images-na.ssl-images-amazon.com/images/I/71zvriRVHrL._AC_UL200_SR200,200_.jpg",What Should Danny Do? (The Power to Choose Series),$13.19
Dan Green,"https://images-na.ssl-images-amazon.com/images/I/714al5FoFPL._AC_UL200_SR200,200_.jpg",How to Draw 101 Animals (1),$2.00
Isabel Wilkerson,"https://images-na.ssl-images-amazon.com/images/I/81MVfud0o8L._AC_UL200_SR200,200_.jpg",Caste (Oprah's Book Club): The Origins of Our Discontents,$19.20
Erik Larson,"https://images-na.ssl-images-amazon.com/images/I/91ABn71jLcL._AC_UL200_SR200,200_.jpg","The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",$18.95
Brit Bennett,"https://images-na.ssl-images-amazon.com/images/I/81LYYbsEPeL._AC_UL200_SR200,200_.jpg",The Vanishing Half: A Novel,$16.41
Ruth Bader Ginsburg,"https://images-na.ssl-images-amazon.com/images/I/71DB4SAup3L._AC_UL200_SR200,200_.jpg",My Own Words,$10.97
J K Rowling,"https://images-na.ssl-images-amazon.com/images/I/61l2kQZ0NBL._AC_UL200_SR200,200_.jpg",The Ickabog,$13.49
Crystal Radke,"https://images-na.ssl-images-amazon.com/images/I/71XQe19mZtL._AC_UL200_SR200,200_.jpg","My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",$5.39
Eric Carle,"https://images-na.ssl-images-amazon.com/images/I/71KilybDOoL._AC_UL200_SR200,200_.jpg",The Very Hungry Caterpillar,$0.94
Claire Saffitz,"https://images-na.ssl-images-amazon.com/images/I/A16elJ-4lpL._AC_UL200_SR200,200_.jpg",Dessert Person: Recipes and Guidance for Baking with Confidence,$15.64
Rick Riordan,"https://images-na.ssl-images-amazon.com/images/I/91c1ZqCal9L._AC_UL200_SR200,200_.jpg",Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),$21.00
Kiki Thorpe,"https://images-na.ssl-images-amazon.com/images/I/71WelwnPwOL._AC_UL200_SR200,200_.jpg",The Never Girls Collection #1 (Disney: The Never Girls): Books 1-4,$9.44
Guinness World Records,"https://images-na.ssl-images-amazon.com/images/I/A1TJNCSNPzL._AC_UL200_SR200,200_.jpg",Guinness World Records 2021,$13.25
Roger Price,"https://images-na.ssl-images-amazon.com/images/I/81FrXLgR4DL._AC_UL200_SR200,200_.jpg",Star Wars Mad Libs,$0.53
School Zone,"https://images-na.ssl-images-amazon.com/images/I/81HCcHPXZnL._AC_UL200_SR200,200_.jpg","School Zone - Big Preschool Workbook - Ages 3-5 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading, Phonics, and More",$6.69
